model,seed,metric,n_source,source_performance,source_ci_low,source_ci_high,source_half_width,source_half_width_tolerance,source_within_tolerance
EfficientNetV2B0,3,precision,1002,0.7425149700598802,0.6745527728085867,0.8057380952380951,0.06559266121475421,0.075,True
EfficientNetV2B0,4,precision,1002,0.7455621301775148,0.6783615507299717,0.8081456273499512,0.06489203830998974,0.075,True
EfficientNetV2B0,5,precision,1002,0.6810810810810811,0.6153658536585366,0.7474747474747475,0.06605444690810547,0.075,True
MobileNetV2,1,precision,1002,0.6604651162790698,0.5980849516840229,0.7233009708737864,0.06260800959488177,0.075,True
MobileNetV2,2,precision,1002,0.6338028169014085,0.5714285714285714,0.7014301155732934,0.06500077207236099,0.075,True
MobileNetV2,3,precision,1002,0.6216216216216216,0.5539888842861088,0.685350944887818,0.06568103030085459,0.075,True
MobileNetV2,4,precision,1002,0.6094420600858369,0.5491071428571429,0.6740125228926397,0.06245269001774839,0.075,True
MobileNetV2,5,precision,1002,0.6387665198237885,0.5747637120987863,0.7004359022089848,0.06283609505509924,0.075,True
ResNet50,1,precision,1002,0.7564766839378239,0.6971421703296704,0.8172694001177889,0.06006361489405926,0.075,True
ResNet50,2,precision,1002,0.6966292134831461,0.6258054621017218,0.7614272375792325,0.06781088773875532,0.075,True
ResNet50,3,precision,1002,0.6908212560386473,0.6249858597285068,0.750031094527363,0.0625226173994281,0.075,True
ResNet50,4,precision,1002,0.7064676616915423,0.6409084630838774,0.7696815523962393,0.06438654465618093,0.075,True
ResNet50,5,precision,1002,0.7172774869109948,0.6517298124760812,0.7816091954022989,0.06493969146310885,0.075,True
VGG16,1,precision,1002,0.6129032258064516,0.548770653029111,0.672200913560445,0.061715130265666995,0.075,True
VGG16,2,precision,1002,0.67,0.6069425599276346,0.7340489772844074,0.06355320867838643,0.075,True
VGG16,3,precision,1002,0.6138211382113821,0.554767456831805,0.6739212779973649,0.059576910582779974,0.075,True
VGG16,4,precision,1002,0.6280193236714976,0.5613094749794915,0.6923170731707317,0.0655037990956201,0.075,True
VGG16,5,precision,1002,0.6391304347826087,0.5767630029914117,0.7017660818713449,0.06250153943996661,0.075,True
