model,seed,metric,target_condition,n_target,target_performance,target_ci_low,target_ci_high,target_half_width,target_half_width_tolerance,target_within_tolerance
MobileNetV2,4,accuracy,BOSQUE dark,46,0.6956521739130435,0.5652173913043478,0.8260869565217391,0.13043478260869568,0.1,False
MobileNetV2,5,accuracy,BOSQUE dark,46,0.5434782608695652,0.391304347826087,0.6956521739130435,0.15217391304347824,0.1,False
ResNet50,1,accuracy,BOSQUE dark,46,0.6521739130434783,0.5217391304347826,0.782608695652174,0.13043478260869568,0.1,False
ResNet50,2,accuracy,BOSQUE dark,46,0.6956521739130435,0.5652173913043478,0.8260869565217391,0.13043478260869568,0.1,False
ResNet50,3,accuracy,BOSQUE dark,46,0.6521739130434783,0.5217391304347826,0.782608695652174,0.13043478260869568,0.1,False
ResNet50,4,accuracy,BOSQUE dark,46,0.6739130434782609,0.5434782608695652,0.8043478260869565,0.13043478260869568,0.1,False
ResNet50,5,accuracy,BOSQUE dark,46,0.717391304347826,0.5869565217391305,0.8478260869565217,0.13043478260869562,0.1,False
VGG16,1,accuracy,BOSQUE dark,46,0.6956521739130435,0.5652173913043478,0.8260869565217391,0.13043478260869568,0.1,False
VGG16,2,accuracy,BOSQUE dark,46,0.6739130434782609,0.5434782608695652,0.8043478260869565,0.13043478260869568,0.1,False
VGG16,3,accuracy,BOSQUE dark,46,0.7391304347826086,0.6086956521739131,0.8695652173913043,0.13043478260869562,0.1,False
VGG16,4,accuracy,BOSQUE dark,46,0.6956521739130435,0.5652173913043478,0.8260869565217391,0.13043478260869568,0.1,False
VGG16,5,accuracy,BOSQUE dark,46,0.6739130434782609,0.5434782608695652,0.8043478260869565,0.13043478260869568,0.1,False
DenseNet121,1,specificity,BOSQUE overall,151,0.9245283018867924,0.8461538461538461,0.9827586206896552,0.06830238726790455,0.1,True
DenseNet121,2,specificity,BOSQUE overall,151,0.8679245283018868,0.7678571428571429,0.9523809523809524,0.09226190476190477,0.1,True
DenseNet121,3,specificity,BOSQUE overall,151,0.9245283018867924,0.8461538461538461,0.9827586206896552,0.06830238726790455,0.1,True
DenseNet121,4,specificity,BOSQUE overall,151,0.9433962264150944,0.875,1.0,0.0625,0.1,True
DenseNet121,5,specificity,BOSQUE overall,151,0.8867924528301887,0.7936371100164203,0.9636363636363636,0.08499962680997164,0.1,True
EfficientNetV2B0,1,specificity,BOSQUE overall,151,0.8679245283018868,0.7692307692307693,0.9534883720930232,0.09212880143112695,0.1,True
EfficientNetV2B0,2,specificity,BOSQUE overall,151,0.7924528301886793,0.6779661016949152,0.8958333333333334,0.10893361581920907,0.1,False
EfficientNetV2B0,3,specificity,BOSQUE overall,151,0.8679245283018868,0.7735849056603774,0.9508196721311476,0.0886173832353851,0.1,True
EfficientNetV2B0,4,specificity,BOSQUE overall,151,0.8867924528301887,0.7931034482758621,0.9636363636363636,0.08526645768025076,0.1,True
EfficientNetV2B0,5,specificity,BOSQUE overall,151,0.8867924528301887,0.7954545454545454,0.9629629629629628,0.08375420875420869,0.1,True
MobileNetV2,1,specificity,BOSQUE overall,151,0.7169811320754716,0.5882352941176471,0.8372093023255814,0.12448700410396718,0.1,False
MobileNetV2,2,specificity,BOSQUE overall,151,0.7358490566037735,0.6111111111111112,0.8518518518518519,0.12037037037037035,0.1,False
MobileNetV2,3,specificity,BOSQUE overall,151,0.7735849056603774,0.6562371926229509,0.88,0.11188140368852456,0.1,False
MobileNetV2,4,specificity,BOSQUE overall,151,0.7924528301886793,0.6785714285714286,0.896551724137931,0.10899014778325122,0.1,False
MobileNetV2,5,specificity,BOSQUE overall,151,0.7358490566037735,0.6078431372549019,0.8510835303388492,0.12162019654197365,0.1,False
ResNet50,1,specificity,BOSQUE overall,151,0.9056603773584906,0.82,0.979591836734694,0.07979591836734701,0.1,True
ResNet50,2,specificity,BOSQUE overall,151,0.8490566037735849,0.7446808510638298,0.9411764705882352,0.09824780976220271,0.1,True
ResNet50,3,specificity,BOSQUE overall,151,0.8679245283018868,0.7692307692307693,0.95,0.09038461538461534,0.1,True
ResNet50,4,specificity,BOSQUE overall,151,0.9056603773584906,0.82,0.979591836734694,0.07979591836734701,0.1,True
ResNet50,5,specificity,BOSQUE overall,151,0.9433962264150944,0.875,1.0,0.0625,0.1,True
VGG16,1,specificity,BOSQUE overall,151,0.8490566037735849,0.7454545454545455,0.94,0.09727272727272723,0.1,True
VGG16,2,specificity,BOSQUE overall,151,0.8867924528301887,0.7936371100164203,0.9642857142857144,0.08532430213464703,0.1,True
VGG16,3,specificity,BOSQUE overall,151,0.8679245283018868,0.7704602774274906,0.9508196721311476,0.09017969735182851,0.1,True
VGG16,4,specificity,BOSQUE overall,151,0.8490566037735849,0.745445632798574,0.94,0.09727718360071297,0.1,True
VGG16,5,specificity,BOSQUE overall,151,0.8867924528301887,0.7959183673469388,0.9642857142857144,0.08418367346938782,0.1,True
DenseNet121,1,specificity,BOSQUE light,105,0.9285714285714286,0.8181818181818182,1.0,0.09090909090909088,0.1,True
DenseNet121,2,specificity,BOSQUE light,105,0.8928571428571429,0.7619047619047619,1.0,0.11904761904761907,0.1,False
DenseNet121,3,specificity,BOSQUE light,105,0.9285714285714286,0.8181818181818182,1.0,0.09090909090909088,0.1,True
DenseNet121,4,specificity,BOSQUE light,105,0.9642857142857144,0.88,1.0,0.06,0.1,True
DenseNet121,5,specificity,BOSQUE light,105,0.8571428571428571,0.7142857142857143,0.967741935483871,0.12672811059907835,0.1,False
EfficientNetV2B0,1,specificity,BOSQUE light,105,0.8928571428571429,0.7647058823529411,1.0,0.11764705882352944,0.1,False
EfficientNetV2B0,2,specificity,BOSQUE light,105,0.8214285714285714,0.6666666666666666,0.9583333333333334,0.14583333333333337,0.1,False
EfficientNetV2B0,3,specificity,BOSQUE light,105,0.8571428571428571,0.7142857142857143,0.967741935483871,0.12672811059907835,0.1,False
EfficientNetV2B0,4,specificity,BOSQUE light,105,0.8928571428571429,0.7619047619047619,1.0,0.11904761904761907,0.1,False
