metric_group,model,metric,target_condition,n_seeds,n_target,source_mean,source_sd,target_mean,target_sd,degradation_mean,degradation_sd,tac_adequate_n,tac_not_adequate_n,tac_inconclusive_n,etc_transported_n,etc_not_transported_n,etc_inconclusive_n,most_common_joint_region
Primary,DenseNet121,precision,BOSQUE dark,5,46,0.6297640409332409,0.033165713462860326,0.8198901098901098,0.04485414918051489,-0.19012606895686895,0.038493817693653114,0,0,5,2,0,3,inconclusive
Primary,EfficientNetV2B0,precision,BOSQUE dark,5,46,0.7051891511621046,0.03811409580943254,0.7659173669467787,0.05825730591889878,-0.06072821578467413,0.03465241505942163,0,0,5,0,0,5,inconclusive
Primary,MobileNetV2,precision,BOSQUE dark,5,46,0.6328196269423451,0.01918665703945964,0.5677563473902147,0.06447961365512549,0.0650632795521304,0.08111903048136215,0,3,2,0,0,5,inconclusive
Primary,ResNet50,precision,BOSQUE dark,5,46,0.7135344604124308,0.026027204419129736,0.7805827505827506,0.12444495359819523,-0.06704829017031969,0.12404836839294126,1,0,4,1,0,4,inconclusive
Primary,VGG16,precision,BOSQUE dark,5,46,0.632774824494388,0.023467237373436558,0.7533699633699633,0.03303909502957079,-0.12059513887557531,0.048796230582222766,0,0,5,1,0,4,inconclusive
Secondary,DenseNet121,accuracy,BOSQUE overall,5,151,0.86187624750499,0.012889328775219946,0.6993377483443709,0.04044617611815227,0.16253849916061916,0.046776179405141144,0,3,2,0,4,1,not adequate and not transported
Secondary,EfficientNetV2B0,accuracy,BOSQUE overall,5,151,0.8798403193612774,0.007908827447568425,0.7443708609271523,0.02019596116818132,0.1354694584341251,0.01928594979493047,0,2,3,0,4,1,inconclusive
Secondary,MobileNetV2,accuracy,BOSQUE overall,5,151,0.8630738522954091,0.007210535675923507,0.6344370860927152,0.029393829167115464,0.22863676620269394,0.0328417074413687,0,5,0,0,5,0,not adequate and not transported
Secondary,ResNet50,accuracy,BOSQUE overall,5,151,0.8870259481037925,0.01047666544671515,0.671523178807947,0.010043543634505396,0.2155027692958454,0.01960759607851909,0,5,0,0,5,0,not adequate and not transported
Secondary,VGG16,accuracy,BOSQUE overall,5,151,0.8636726546906187,0.0062961318545259265,0.6463576158940397,0.02415176493882184,0.21731503879657893,0.028320681501611593,0,5,0,0,5,0,not adequate and not transported
